<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,2"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,1.63"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,PECAM1,NM_000442.4,1589"
"Endogenous,SERPINH1,NM_001207014.1,3394"
"Endogenous,SPP1,NM_000582.2,6098"
"Endogenous,EGFR,NM_005228.3,168"
"Endogenous,CASP8,NM_001228.4,144"
"Endogenous,CCNA1,NM_001111045.1,28"
"Endogenous,TNFAIP3,NM_001270508.1,162"
"Endogenous,CDC25C,NM_001790.4,59"
"Endogenous,CXCR6,NM_006564.1,87"
"Endogenous,DLL1,NM_005618.3,175"
"Endogenous,OAS1,NM_001032409.1,1685"
"Endogenous,HLA-DQB1,NM_002123.3,309"
"Endogenous,ROBO4,NM_019055.5,214"
"Endogenous,NFKB1,NM_003998.3,706"
"Endogenous,IFI27,NM_005532.3,14237"
"Endogenous,HLA-DMB,NM_002118.3,910"
"Endogenous,CDKN1C,NM_000076.2,710"
"Endogenous,CEP55,NM_018131.3,162"
"Endogenous,ARG1,NM_000045.3,33"
"Endogenous,PLOD2,NM_182943.2,658"
"Endogenous,LAIR1,NM_001289023.2,303"
"Endogenous,SHC2,NM_012435.2,862"
"Endogenous,STAT3,NM_003150.3,2986"
"Endogenous,CD45RO,NM_080921.3,580"
"Endogenous,CD2,NM_001767.3,424"
"Endogenous,IL7R,NM_002185.3,487"
"Endogenous,FLNB,NM_001164319.1,3097"
"Endogenous,PSMB5,NM_001130725.1,2282"
"Endogenous,SLC1A5,NM_001145144.1,1118"
"Endogenous,RICTOR,NM_001285439.1,712"
"Endogenous,ZAP70,NM_001079.3,195"
"Endogenous,TNFAIP6,NM_007115.3,605"
"Endogenous,BTLA,NM_001085357.1,23"
"Endogenous,RELA,NM_021975.3,788"
"Endogenous,MMP7,NM_002423.3,644"
"Endogenous,TCF3,NM_003200.3,1367"
"Endogenous,IRF8,NM_002163.2,325"
"Endogenous,NOS2,NM_000625.4,28"
"Endogenous,A2M,NM_000014.4,4973"
"Endogenous,CCL20,NM_001130046.1,37"
"Endogenous,MKI67,NM_002417.2,978"
