code_class,gene,type,mean_count,log2_transformed
Endogenous,RASGRF1,post,29.2,4.867896463992655
Endogenous,HDAC5,pre,334.4,8.38543103719352
Endogenous,HDAC5,post,126.8,6.986410935252045
Endogenous,BAMBI,pre,434.8,8.764208130139947
Endogenous,BAMBI,post,710.2,9.472081550133609
Endogenous,MAGEC1,pre,13,3.700439718141092
Endogenous,MAGEC1,post,15.8,3.9818526532897405
Endogenous,FYN,pre,379.4,8.567575868524113
Endogenous,FYN,post,140.8,7.137503523749935
Endogenous,TNFSF4,pre,41.8,5.38543103719352
Endogenous,TNFSF4,post,40,5.321928094887363
Endogenous,CD274,pre,54.4,5.765534746362977
Endogenous,CD274,post,18.2,4.185866545311334
Endogenous,PRKACB,pre,135,7.076815597050831
Endogenous,PRKACB,post,133,7.05528243550119
Endogenous,IFIT2,pre,177.4,7.470862199413702
Endogenous,IFIT2,post,55,5.78135971352466
Endogenous,PPARG,pre,76,6.247927513443585
Endogenous,PPARG,post,86,6.426264754702098
Endogenous,PTEN,pre,550.2,9.103812329428848
Endogenous,PTEN,post,267.2,8.06177619758669
Endogenous,FOXP3,pre,32.8,5.035623909730721
Endogenous,FOXP3,post,24.2,4.596935142387232
Endogenous,SREBF1,pre,1825.7,10.834234005038997
Endogenous,SREBF1,post,4079.8,11.994282714780319
Endogenous,CD36,pre,249.3,7.961739072604138
Endogenous,CD36,post,583,9.187352073200497
Endogenous,AXIN1,pre,214.4,7.74416109557041
Endogenous,AXIN1,post,61.2,5.9354597478052895
Endogenous,KLRK1,pre,77.8,6.281698250098829
Endogenous,KLRK1,post,39.2,5.292781749227846
Endogenous,GBP1,pre,216.6,7.758889432720965
Endogenous,GBP1,post,79.8,6.318316841334983
Endogenous,CXCL11,pre,102.2,6.675251386050259
Endogenous,CXCL11,post,67.2,6.070389327891398
Endogenous,CXCL10,pre,721,9.493855449240822
Endogenous,CXCL10,post,319.2,8.318316841334983
Endogenous,RIPK1,pre,718.6,9.489045125114801
Endogenous,RIPK1,post,307.8,8.265849421440848
Endogenous,REN,pre,7.5,2.9068905956085187
Endogenous,REN,post,9,3.169925001442312
Endogenous,PRF1,pre,41.4,5.371558862611963
Endogenous,PRF1,post,17.2,4.104336659814735
Endogenous,EIF2AK2,pre,1002.4,9.969242604434498
Endogenous,EIF2AK2,post,502.8,8.973840839533146
Endogenous,LIF,pre,73.4,6.197708157955851
Endogenous,LIF,post,30.5,4.930737337562887
Endogenous,BRD3,pre,1040.8,10.023477151830432
Endogenous,BRD3,post,373.2,8.543805175964396
Endogenous,IGF2R,pre,426.4,8.736063627871813
Endogenous,IGF2R,post,226.5,7.8233672400462355
Endogenous,FPR1,pre,101.4,6.663913842115978
Endogenous,FPR1,post,70.8,6.145677455195635
Endogenous,DUSP5,pre,779.5,9.606405212697785
Endogenous,DUSP5,post,214,7.741466986401147
Endogenous,APC,pre,784,9.614709844115207
Endogenous,APC,post,487.5,8.929258408636972
Endogenous,HDAC3,pre,477.2,8.898450232807866
Endogenous,HDAC3,post,317.2,8.309248960816616
Endogenous,CES3,pre,28.2,4.817623257511431
Endogenous,CES3,post,17,4.087462841250339
Endogenous,OAS2,pre,891,9.799281621521923
Endogenous,OAS2,post,361.8,8.499048597733879
Endogenous,HDAC11,pre,237,7.888743248898259
Endogenous,HDAC11,post,83.3,6.380244590478185
Endogenous,THBS1,pre,2864,11.483815777264256
Endogenous,THBS1,post,3111.8,11.6035336238164
Endogenous,SLC11A1,pre,30.8,4.944858445807539
Endogenous,SLC11A1,post,44.3,5.469234793667656
Endogenous,MAGEA3/A6,pre,12,3.584962500721156
Endogenous,MAGEA3/A6,post,11.5,3.523561956057013
Endogenous,ARID1A,pre,994,9.957102041562287
Endogenous,ARID1A,post,317.8,8.311975314461156
Endogenous,CD48,pre,49,5.614709844115208
Endogenous,CD48,post,28.2,4.817623257511431
Endogenous,GZMA,pre,63.4,5.986410935252045
Endogenous,GZMA,post,29,4.857980995127572
Endogenous,ICOSLG,pre,185,7.531381460516312
Endogenous,ICOSLG,post,105.5,6.721099188707185
Endogenous,PIK3R5,pre,97.2,6.602884408718419
Endogenous,PIK3R5,post,70.2,6.133399125417198
Endogenous,GZMM,pre,25.4,4.666756591884804
Endogenous,GZMM,post,13,3.700439718141092
Endogenous,WNT5A,pre,235.2,7.877744249949002
Endogenous,WNT5A,post,166,7.3750394313469245
Endogenous,TLR4,pre,472.8,8.88508622529017
Endogenous,TLR4,post,264.3,8.046032614754207
Endogenous,GZMB,pre,10.4,3.37851162325373
Endogenous,GZMB,post,7.2,2.84799690655495
Endogenous,PARP9,pre,597,9.221587121264806
Endogenous,PARP9,post,239.5,7.90388184573618
Endogenous,LY96,pre,417.4,8.705286790272472
Endogenous,LY96,post,349.8,8.45038647903429
Endogenous,RAD50,pre,978.2,9.933985654450428
Endogenous,RAD50,post,863,9.753216749178955
Endogenous,MX1,pre,385.8,8.591709333161742
Endogenous,MX1,post,125.5,6.971543553950772
Endogenous,CENPF,pre,102.5,6.679480099505446
Endogenous,CENPF,post,58.5,5.870364719583405
Endogenous,SELL,pre,58.2,5.862947248020921
Endogenous,SELL,post,23.3,4.542258049766918
Endogenous,TNFSF10,pre,2961.8,11.532258508425251
Endogenous,TNFSF10,post,857.3,9.74365633317414
Endogenous,IL12RB2,pre,36.2,5.177917792195843
Endogenous,IL12RB2,post,16.8,4.070389327891398
Endogenous,CXCL9,pre,560.6,9.130827934145131
Endogenous,CXCL9,post,61.8,5.949534933017012
Endogenous,TRAT1,pre,37.7,5.236492618381302
Endogenous,TRAT1,post,17.2,4.104336659814735
Endogenous,STC1,pre,174.2,7.444600813711502
Endogenous,STC1,post,108,6.754887502163468
Endogenous,IL2RB,pre,95.5,6.577428828035749
Endogenous,IL2RB,post,30,4.906890595608519
Endogenous,LILRB4,pre,107.5,6.7481928495894605
Endogenous,LILRB4,post,96.8,6.596935142387232
Endogenous,SOX2,pre,16.6,4.053111336459563
Endogenous,SOX2,post,15.5,3.9541963103868754
Endogenous,HCK,pre,241.4,7.91528186586766
Endogenous,HCK,post,112.8,6.817623257511431
Endogenous,WNT2B,pre,77.6,6.277984747299765
Endogenous,WNT2B,post,45.7,5.514122260170708
Endogenous,IL1B,pre,66.6,6.0574502721839
Endogenous,IL1B,post,19,4.247927513443585
Endogenous,TLR1,pre,161.8,7.338067797542616
Endogenous,TLR1,post,159.7,7.31922050252387
Endogenous,CCL22,pre,25.2,4.655351828612554
Endogenous,CCL22,post,12.2,3.608809242675524
Endogenous,ICAM2,pre,110.2,6.783980413683795
Endogenous,ICAM2,post,39,5.285402218862249
Endogenous,MAP3K12,pre,98,6.614709844115208
Endogenous,MAP3K12,post,45,5.491853096329675
Endogenous,JAG1,pre,533,9.057991722759176
Endogenous,JAG1,post,514,9.005624549193879
Endogenous,CCL3/L1,pre,83.2,6.37851162325373
Endogenous,CCL3/L1,post,64.2,6.004501392234941
Endogenous,SOCS1,pre,85.6,6.419538891513785
Endogenous,SOCS1,post,28.8,4.84799690655495
Endogenous,BCL2,pre,576.8,9.17192735435346
Endogenous,BCL2,post,335,8.388017285345136
Endogenous,MAP3K8,pre,242.8,7.92362461136832
Endogenous,MAP3K8,post,179,7.483815777264256
Endogenous,MMP1,pre,47.6,5.572889668420581
Endogenous,MMP1,post,18.8,4.232660756790275
Endogenous,CMKLR1,pre,140.8,7.137503523749935
Endogenous,CMKLR1,post,119.3,6.898450232807866
Endogenous,TNFRSF17,pre,27.5,4.78135971352466
Endogenous,TNFRSF17,post,16.8,4.070389327891398
Endogenous,TLR8,pre,75,6.22881869049588
Endogenous,TLR8,post,47.6,5.572889668420581
Endogenous,TPM1,pre,1724.8,10.752213367865144
Endogenous,TPM1,post,528,9.044394119358454
Endogenous,CXorf36,pre,134.8,7.074676686294496
Endogenous,CXorf36,post,140.2,7.131342539123261
Endogenous,NLRP3,pre,44.8,5.485426827170242
Endogenous,NLRP3,post,22,4.459431618637297
Endogenous,DEFB134,pre,14.2,3.8278190246173196
Endogenous,DEFB134,post,20,4.321928094887363
Endogenous,HLA-DQA2,pre,52.8,5.722466024471091
Endogenous,HLA-DQA2,post,639.8,9.321477182228312
Endogenous,CX3CR1,pre,320.8,8.325530331567558
Endogenous,CX3CR1,post,69.5,6.118941072723508
Endogenous,APLNR,pre,82.4,6.364572432295856
Endogenous,APLNR,post,26,4.700439718141092
Endogenous,MXI1,pre,296.6,8.212374787567269
Endogenous,MXI1,post,74.5,6.219168520462161
Endogenous,FZD9,pre,15.8,3.9818526532897405
Endogenous,FZD9,post,13.6,3.765534746362977
Endogenous,COL4A5,pre,631.2,9.301953395126096
