code_class,gene,log2_fold_change
Endogenous,AQP9,0.9181229929455923
Endogenous,PRKCA,-0.32939247219866535
Endogenous,TSLP,0.567040592723894
Endogenous,HLA-DOB,-0.2403143293337102
Endogenous,ANGPTL4,-1.2648971498509833
Endogenous,TNFRSF25,-1.2713453193381699
Endogenous,MS4A4A,-0.03879749879003276
Endogenous,CLEC5A,1.440791397034522
Endogenous,ITGAM,-0.25197921732479805
Endogenous,MMP9,-1.635588573791124
Endogenous,CD7,0.028854862672184987
Endogenous,VHL,-1.380578028535471
Endogenous,OLFML2B,0.6113085968638666
Endogenous,IL6,-0.29218075149331013
Endogenous,TNFRSF1A,-1.189834647127423
Endogenous,DKK1,-0.13430109171159121
Endogenous,FANCA,-1.2630344058337937
Endogenous,TNF,-0.6725488656704357
Endogenous,LTB,-1.0768155970508309
Endogenous,PPARGC1B,-1.2252923118422427
Endogenous,RPS6KB1,0.2828190578482456
Endogenous,CD38,-1.170800688899176
Endogenous,DTX3L,-0.7598799861142079
Endogenous,TMEM173,-1.0450167489658426
Endogenous,NEIL1,-1.523916295992698
Endogenous,HELLS,-1.7309574853647307
Endogenous,TGFBR1,-0.8179839763633888
Endogenous,MB21D1,-1.1067763163071735
Endogenous,CCR2,-1.1580420099263904
Endogenous,MSH2,-0.9108951710247123
Endogenous,RAD51,-1.7851021152104765
Endogenous,TNFRSF18,-0.5815478363083918
Endogenous,FCGR3A/B,0.0787977054890677
Endogenous,STAT1,-1.7161364215344082
Endogenous,CTSS,-1.0097434047240263
Endogenous,PDK1,-1.020580877422452
Endogenous,ITGAV,-0.20225850264880216
Endogenous,ANGPT1,0.7369655941662062
Endogenous,BCL6B,-0.8990710911492191
Endogenous,CDH2,-0.054935675484885337
Endogenous,CSF3R,-1.0642401859019623
Endogenous,RELB,-1.206558940464435
Endogenous,CXCL16,-1.099447107600987
Endogenous,IL6R,-1.3717010911368368
Endogenous,PDGFA,-0.777607578663552
Endogenous,PIK3R1,-0.6177185939875466
Endogenous,HK1,-2.144933273689998
Endogenous,AXL,-0.6847111024756731
Endogenous,HK2,-0.867051646353658
Endogenous,PDGFRB,-1.2221707921723453
Endogenous,FADD,0.8468169257348062
Endogenous,CD74,-0.8611981204001159
Endogenous,RIPK2,-0.10185325644431376
Endogenous,CD45RB,-0.37319256712496846
Endogenous,BAD,-2.0818703294409864
Endogenous,PKM,-1.0906235586156807
Endogenous,KLRB1,-1.0497530351970996
Endogenous,ADORA2A,-1.209056784774969
Endogenous,IFIT1,-1.1522641910913853
Endogenous,UBE2T,-1.155794672607424
Endogenous,RPL23,-0.681070183209481
Endogenous,ARG2,-0.14919355985822588
Endogenous,TGFBR2,-0.03542584162878501
Endogenous,CRABP2,-0.418847660333772
Endogenous,BLK,-0.05958879628979976
Endogenous,CCL14,0.16898113811725632
Endogenous,CCNB1,-1.3832191744700093
Endogenous,STAT2,-1.2524751457891663
Endogenous,IKBKB,-0.7734784494191969
Endogenous,ZEB2,-0.43157717542877505
Endogenous,LRRC32,-0.02434381897974732
Endogenous,IL22RA1,0.13450993581167914
Endogenous,ELOB,-0.5295493804025496
Endogenous,ITGA1,-0.5429177985237199
Endogenous,IL24,0.2630344058337938
Endogenous,PVRIG,-1.7471794070282056
Endogenous,RB1,-0.8650882672092123
Endogenous,SRP54,-0.7780989598130196
Endogenous,ICAM3,-1.1132326156650914
Endogenous,CCR5,-1.3094121434955355
Endogenous,CTLA4,-1.5431423250265293
Endogenous,GLS,-1.9818526532897405
Endogenous,ITGAE,-0.5676152571572595
Endogenous,MET,-0.14386992553394698
Endogenous,WNT3A,0.5351589448005424
Endogenous,TYMP,-1.4419709829524678
Endogenous,IFI16,-0.24392558288608923
Endogenous,PVR,-1.4357110675435936
Endogenous,P4HA2,0.4027107496034083
Endogenous,BRIP1,0.1356550993575664
Endogenous,ESR1,-1.3914749730959082
Endogenous,DAB2,-0.8077145618552759
Endogenous,DUSP1,0.6017273832005616
Endogenous,CD8B,-0.9517717195038005
Endogenous,ACVR1C,0.22004848086814854
Endogenous,IL15,-0.5680886821567601
Endogenous,KIR3DL1,-0.11103131238874402
Endogenous,CDH1,-1.2647788982360602
Endogenous,HES1,-2.0780655241670316
Endogenous,IHH,-0.026717338375779574
Endogenous,CCL19,-1.1451979155399357
Endogenous,C2,-0.7133787738485902
Endogenous,TLR7,0.18470604514883435
Endogenous,IL2RA,-0.14585086646345477
Endogenous,PRKAA2,-1.003245659503654
Endogenous,COL11A2,0.09310940439148145
Endogenous,TNFRSF10D,-0.3235391447933478
Endogenous,SIGLEC8,0.2703577466396527
Endogenous,PC,-0.42678083234698194
Endogenous,IL17A,0.15527822547791081
Endogenous,GLI1,-0.2720795454368008
Endogenous,GNG4,1.0599425404562823
Endogenous,LDHB,-0.8401448571752737
Endogenous,DTX4,0.032666188920322053
Endogenous,CD3G,-0.14373547746144952
Endogenous,S100A8,-0.930459066746923
Endogenous,ZC3H12A,-1.422305499742883
Endogenous,IER3,-1.6303679352287335
Endogenous,CD4,-1.408197753798381
Endogenous,S100A12,0.4658866407745966
Endogenous,CD6,-0.6204113367254458
Endogenous,CD163,0.2274527388390651
Endogenous,DUSP2,-0.6750378450230042
Endogenous,HERC6,-0.9577525911822005
Endogenous,MRC1,-0.7618006136210329
Endogenous,DLL4,-1.1556192209589289
Endogenous,SAMSN1,-0.6038085616171576
Endogenous,CD28,-0.22521294039882678
