<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01003-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,7"
"FovCount,194"
"FovCounted,192"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.38"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,IRF5,NM_002200.3,34"
"Endogenous,PCK2,NM_001018073.2,128"
"Endogenous,EPCAM,NM_002354.2,239"
"Endogenous,CD19,NM_001770.4,73"
"Endogenous,GBP4,NM_052941.4,458"
"Endogenous,MSH6,NM_000179.2,69"
"Endogenous,TNFRSF11B,NM_002546.3,16"
"Endogenous,NOTCH1,NM_017617.3,93"
"Endogenous,CASP9,XM_011542270.1,48"
"Endogenous,RAD51C,NM_058216.2,40"
"Endogenous,HLA-DMA,NM_006120.3,1068"
"Endogenous,SFRP1,NM_003012.3,39"
"Endogenous,MAGEA1,NM_004988.4,21"
"Endogenous,ENTPD1,NM_001098175.1,448"
"Endogenous,ROCK1,NM_005406.2,119"
"Endogenous,FCGR2A,NM_021642.3,846"
"Endogenous,NGFR,NM_002507.3,31"
"Endogenous,ALDOC,NM_005165.2,40"
"Endogenous,CCNE1,NM_001238.1,30"
"Endogenous,ITGAX,NM_000887.4,216"
"Endogenous,BLM,NM_000057.3,32"
"Endogenous,MLANA,NM_005511.1,10"
"Endogenous,FCGR1A,NM_000566.3,128"
"Endogenous,CD47,NM_001777.3,504"
"Endogenous,CSF2,NM_000758.3,15"
"Endogenous,CDH5,NM_001795.3,85"
"Endogenous,SLC7A5,NM_003486.6,155"
"Endogenous,GIMAP4,NM_018326.2,510"
"Endogenous,HIF1A,NM_181054.2,836"
"Endogenous,CDK2,NM_001290230.1,138"
"Endogenous,PDCD1,NM_005018.1,30"
"Endogenous,ATF3,NM_001674.3,53"
"Endogenous,TIE1,NM_005424.4,72"
"Endogenous,CD44,NM_001001392.1,358"
"Endogenous,ALDOA,NM_000034.3,2312"
"Endogenous,FAS,NM_000043.3,46"
"Endogenous,MRE11,NM_001330347.1,200"
"Endogenous,IL10,NM_000572.2,23"
"Endogenous,BMP2,NM_001200.3,23"
"Endogenous,BAX,NM_004324.3,255"
"Endogenous,EIF5AL1,NM_001099692.1,13"
"Endogenous,KIT,NM_000222.2,182"
"Endogenous,CDK6,NM_001145306.1,70"
"Endogenous,SPIB,NM_003121.3,21"
"Endogenous,PFKFB3,NM_004566.3,44"
"Endogenous,CXCL12,NM_199168.3,111"
"Endogenous,CSF3,NM_000759.3,2"
"Endogenous,KIR2DL3,NM_015868.2,19"
"Endogenous,CD40,NM_001250.5,109"
"Endogenous,IRF1,NM_002198.2,729"
"Endogenous,MGMT,NM_002412.3,192"
"Endogenous,GLUD1,NM_005271.2,585"
"Endogenous,IFI35,NM_005533.4,176"
"Endogenous,PF4,NM_002619.3,18"
"Endogenous,GPSM3,NM_001276501.1,164"
"Endogenous,SLC2A1,NM_006516.2,27"
"Endogenous,IL2,NM_000586.2,30"
"Endogenous,SNAI1,NM_005985.3,53"
"Endogenous,CTNNB1,NM_001098209.1,2092"
