<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,10"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.41"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,PARP9,NM_001146103.1,343"
"Endogenous,LY96,NM_001195797.1,437"
"Endogenous,RAD50,NM_005732.3,829"
"Endogenous,MX1,NM_001144925.2,234"
"Endogenous,CENPF,NM_016343.3,127"
"Endogenous,SELL,NM_000655.4,20"
"Endogenous,TNFSF10,NM_003810.3,961"
"Endogenous,IL12RB2,NM_001319233.1,20"
"Endogenous,CXCL9,NM_002416.2,82"
"Endogenous,TRAT1,NM_016388.3,21"
"Endogenous,STC1,NM_003155.2,241"
"Endogenous,IL2RB,NM_000878.2,32"
"Endogenous,LILRB4,NM_001278426.3,107"
"Endogenous,SOX2,NM_003106.2,18"
"Endogenous,HCK,NM_001172129.1,151"
"Endogenous,WNT2B,NM_001291880.1,45"
"Endogenous,IL1B,NM_000576.2,25"
"Endogenous,TLR1,NM_003263.3,155"
"Endogenous,CCL22,NM_002990.3,17"
"Endogenous,ICAM2,NM_000873.3,45"
"Endogenous,MAP3K12,NM_006301.3,29"
"Endogenous,JAG1,NM_000214.2,622"
"Endogenous,CCL3/L1,NM_021006.5,118"
"Endogenous,SOCS1,NM_003745.1,53"
"Endogenous,BCL2,NM_000633.2,379"
"Endogenous,MAP3K8,NM_001244134.1,162"
"Endogenous,MMP1,NM_002421.2,17"
"Endogenous,CMKLR1,NM_004072.2,123"
"Endogenous,TNFRSF17,NM_001192.2,29"
"Endogenous,TLR8,NM_138636.4,44"
"Endogenous,TPM1,NM_000366.5,756"
"Endogenous,CXorf36,NM_024689.2,167"
"Endogenous,NLRP3,NM_001079821.2,23"
"Endogenous,DEFB134,NM_001302695.1,20"
"Endogenous,HLA-DQA2,NM_020056.4,1181"
"Endogenous,CX3CR1,NM_001171171.1,42"
"Endogenous,APLNR,NM_005161.4,26"
"Endogenous,MXI1,NM_001008541.1,63"
"Endogenous,FZD9,NM_003508.2,9"
"Endogenous,COL4A5,NM_000495.4,347"
"Endogenous,FCAR,NM_133278.2,10"
"Endogenous,BRCA2,NM_000059.3,100"
"Endogenous,SFRP4,NM_003014.2,896"
"Endogenous,TLR3,NM_003265.2,130"
"Endogenous,IL2RG,NM_000206.1,92"
"Endogenous,CD84,NM_001184879.1,257"
"Endogenous,HLA-DPA1,NM_033554.2,1833"
"Endogenous,RBL2,NM_001323611.1,886"
"Endogenous,CCL18,NM_002988.3,146"
"Endogenous,IRF3,NM_001197122.1,144"
"Endogenous,TNFRSF8,NM_001243.3,13"
"Endogenous,KIR3DL2,NM_006737.2,5"
"Endogenous,TNFSF13,NM_003808.3,63"
"Endogenous,CLECL1,NM_172004.3,44"
"Endogenous,TNFRSF10B,NM_003842.3,68"
"Endogenous,MAGEC2,NM_016249.3,7"
"Endogenous,CDKN2A,NM_000077.4,153"
"Endogenous,ADM,NM_001124.2,79"
"Endogenous,PNOC,NM_001284244.1,40"
"Endogenous,CD247,NM_198053.2,35"
"Endogenous,PTPRC,NM_080921.3,120"
"Endogenous,OAS3,NM_006187.3,347"
"Endogenous,LAG3,NM_002286.5,115"
"Endogenous,FOSL1,NM_005438.3,119"
"Endogenous,EOMES,NM_001278182.1,55"
"Endogenous,IL10RA,NM_001558.2,127"
"Endogenous,WDR76,NM_024908.3,76"
"Endogenous,GPC4,NM_001448.2,88"
"Endogenous,SLAMF7,NM_021181.3,53"
"Endogenous,RSAD2,NM_080657.4,872"
"Endogenous,TLR5,NM_003268.5,171"
"Endogenous,VEGFA,NM_001171623.1,127"
"Endogenous,COL5A1,NM_000093.4,2215"
"Endogenous,CD3D,NM_000732.4,84"
"Endogenous,FBP1,NM_001127628.1,684"
"Endogenous,ERO1A,NM_014584.2,484"
"Endogenous,CCL21,NM_002989.2,86"
"Endogenous,E2F3,NM_001243076.2,136"
"Endogenous,LDHA,NM_001135239.1,1529"
"Endogenous,MS4A1,NM_021950.3,32"
"Endogenous,CD69,NM_001781.2,62"
"Endogenous,SERPINB5,NM_002639.4,38"
"Endogenous,FAP,NM_004460.2,1482"
"Endogenous,ITGA2,NM_002203.3,134"
"Endogenous,SIGLEC5,NM_003830.3,21"
"Endogenous,SIRPB2,NM_001134836.1,50"
"Endogenous,EPM2AIP1,NM_014805.3,469"
"Endogenous,FGF18,NM_003862.2,21"
"Endogenous,HRAS,NM_005343.3,114"
"Endogenous,CCND1,NM_053056.2,2329"
"Endogenous,LAMB3,NM_000228.2,102"
"Endogenous,ID4,NM_001546.3,93"
"Endogenous,CCL4,NM_002984.2,73"
"Endogenous,GZMH,NM_033423.3,17"
"Endogenous,API5,NM_001142930.1,1039"
"Endogenous,PTGER4,NM_000958.2,83"
"Endogenous,ITGB8,NM_002214.2,96"
"Endogenous,TNKS,NM_003747.2,235"
"Endogenous,B2M,NM_004048.2,8227"
"Endogenous,TP53,NM_000546.2,259"
"Endogenous,MAGEB2,NM_002364.4,17"
"Endogenous,LYZ,NM_000239.2,771"
"Endogenous,NCAM1,NM_000615.6,15"
"Endogenous,TCL1A,NM_001098725.1,7"
"Endogenous,HDC,NM_002112.3,50"
"Endogenous,CD27,NM_001242.4,29"
"Endogenous,SBNO2,NM_001100122.1,133"
"Endogenous,PECAM1,NM_000442.4,720"
"Endogenous,SERPINH1,NM_001207014.1,664"
"Endogenous,SPP1,NM_000582.2,1236"
"Endogenous,EGFR,NM_005228.3,86"
"Endogenous,CASP8,NM_001228.4,62"
"Endogenous,CCNA1,NM_001111045.1,15"
"Endogenous,TNFAIP3,NM_001270508.1,54"
"Endogenous,CDC25C,NM_001790.4,11"
