treatment,code_class,gene,accesion_number,lower_bound_pre_count,upper_bound_pre_count,lower_bound_post_count,upper_bound_post_count,mean_pre,mean_post,count_value,log2_transformed
0,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,1110,10.116343961237469
0,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,1059,10.048486873992337
0,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,75,6.22881869049588
0,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,267,8.060695931687555
1,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,130,7.022367813028454
1,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,NA,NA
1,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,236,7.882643049361842
1,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,142,7.149747119504682
1,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,274,8.098032082960527
0,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,528,9.044394119358454
0,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,4017,11.971902746045467
0,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,2339,11.191676146352428
0,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,467,8.867278739709661
0,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,938,9.873444112515376
1,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,494,8.948367231584678
1,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,NA,NA
1,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,1203,10.232420927176076
1,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,534,9.060695931687555
1,Endogenous,MFGE8,NM_001114614.1,-2188.5,5055.5,-469.5,2206.5,1657.8,763,821,9.681238411777805
0,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,87,6.442943495848728
0,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,NA,NA
0,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,36,5.169925001442312
0,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,33,5.044394119358453
0,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,45,5.491853096329675
1,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,18,4.169925001442312
1,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,85,6.409390936137702
1,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,NA,NA
1,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,34,5.087462841250339
1,Endogenous,CXCL2,NM_002089.1,-40.5,163.5,-42.5,161.5,50.2,43.8,38,5.247927513443585
0,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,144,7.169925001442312
0,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,NA,NA
0,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,799,9.642051692927977
