<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01011-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,9"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.40"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,IFNGR1,NM_000416.2,554"
"Endogenous,INHBA,NM_002192.2,109"
"Endogenous,WNT5B,NM_030775.2,19"
"Endogenous,CXCL5,NM_002994.4,16"
"Endogenous,SOX10,NM_006941.3,54"
"Endogenous,EGR1,NM_001964.2,253"
"Endogenous,STAT4,NM_001243835.1,96"
"Endogenous,IFIT3,NM_001031683.3,87"
"Endogenous,GMIP,NM_001288998.1,15"
"Endogenous,ARNT2,NM_014862.3,208"
"Endogenous,UBE2C,NM_007019.2,102"
"Endogenous,CHUK,NM_001278.4,269"
"Endogenous,GHR,NM_000163.2,632"
"Endogenous,TPI1,NM_000365.5,1090"
"Endogenous,HAVCR2,NM_032782.3,141"
"Endogenous,GOT2,NM_002080.3,801"
"Endogenous,PIK3CA,NM_006218.2,218"
"Endogenous,TNFSF9,NM_003811.3,19"
"Endogenous,IDO1,NM_002164.5,34"
"Endogenous,APOE,NM_000041.2,1034"
"Endogenous,LILRB2,NM_001278405.1,61"
"Endogenous,PARP4,NM_006437.3,402"
"Endogenous,PFKM,NM_000289.5,107"
"Endogenous,THY1,NM_006288.3,502"
"Endogenous,SAMD9,NM_017654.3,248"
"Endogenous,TGFB1,NM_000660.4,600"
"Endogenous,CD8A,NM_001768.6,56"
"Endogenous,SELE,NM_000450.2,80"
"Endogenous,CDKN2B,NM_004936.3,131"
"Endogenous,CD5,NM_001346456.1,39"
"Endogenous,HLA-A,NM_002116.7,4509"
"Endogenous,FZD8,NM_031866.1,44"
"Endogenous,BCL2L1,NM_001191.3,746"
"Endogenous,TNFRSF9,NM_001561.5,16"
"Endogenous,XCL1/2,NM_002995.2,16"
"Endogenous,MAGEA4,NM_001011548.1,9"
"Endogenous,PMS2,NM_000535.6,222"
"Endogenous,KLRD1,NM_002262.3,42"
"Endogenous,NFATC2,NM_173091.2,129"
"Endogenous,VEGFB,NM_003377.3,194"
"Endogenous,CDC20,NM_001255.1,33"
"Endogenous,OTOA,NM_001161683.1,11"
"Endogenous,TPSAB1/B2,NM_003294.3,734"
"Endogenous,P4HA1,NM_000917.3,112"
"Endogenous,P2RY13,NM_023914.2,56"
"Endogenous,EXO1,NM_006027.3,54"
"Endogenous,CD70,NM_001252.3,17"
"Endogenous,DDB2,NM_000107.2,143"
"Endogenous,NDUFA4L2,NM_020142.3,57"
"Endogenous,IFITM1,NM_003641.3,1325"
"Endogenous,IFNAR1,NM_000629.2,375"
"Endogenous,TREM1,NM_001242589.2,12"
"Endogenous,CXCL13,NM_006419.2,201"
"Endogenous,TWIST2,NM_001271893.3,6"
"Endogenous,HLA-DRB1,NM_002124.3,765"
"Endogenous,FGFR1,NM_001174064.1,160"
"Endogenous,TBXAS1,NM_001061.4,193"
"Endogenous,NCR1,NM_001145457.2,16"
"Endogenous,SOX11,NM_003108.3,33"
"Endogenous,TLR2,NM_001318787.1,171"
"Endogenous,TWF1,NM_002822.4,786"
"Endogenous,CCL5,NM_002985.2,147"
"Endogenous,ITGAL,NM_002209.2,75"
"Endogenous,MYCT1,NM_025107.2,58"
"Endogenous,CD96,NM_005816.4,68"
"Endogenous,PROM1,NM_001145847.1,119"
"Endogenous,OASL,NM_003733.2,33"
"Endogenous,IFNG,NM_000619.2,13"
"Endogenous,BATF3,NM_018664.2,30"
"Endogenous,EZH2,NM_004456.4,64"
"Endogenous,IRF5,NM_002200.3,40"
"Endogenous,PCK2,NM_001018073.2,144"
"Endogenous,EPCAM,NM_002354.2,482"
"Endogenous,CD19,NM_001770.4,40"
"Endogenous,GBP4,NM_052941.4,166"
"Endogenous,MSH6,NM_000179.2,105"
"Endogenous,TNFRSF11B,NM_002546.3,20"
"Endogenous,NOTCH1,NM_017617.3,109"
"Endogenous,CASP9,XM_011542270.1,72"
"Endogenous,RAD51C,NM_058216.2,101"
"Endogenous,HLA-DMA,NM_006120.3,579"
"Endogenous,SFRP1,NM_003012.3,307"
"Endogenous,MAGEA1,NM_004988.4,22"
"Endogenous,ENTPD1,NM_001098175.1,431"
"Endogenous,ROCK1,NM_005406.2,162"
"Endogenous,FCGR2A,NM_021642.3,423"
"Endogenous,NGFR,NM_002507.3,104"
"Endogenous,ALDOC,NM_005165.2,546"
"Endogenous,CCNE1,NM_001238.1,78"
"Endogenous,ITGAX,NM_000887.4,256"
"Endogenous,BLM,NM_000057.3,82"
"Endogenous,MLANA,NM_005511.1,13"
"Endogenous,FCGR1A,NM_000566.3,69"
"Endogenous,CD47,NM_001777.3,454"
"Endogenous,CSF2,NM_000758.3,22"
"Endogenous,CDH5,NM_001795.3,137"
"Endogenous,SLC7A5,NM_003486.6,90"
"Endogenous,GIMAP4,NM_018326.2,334"
"Endogenous,HIF1A,NM_181054.2,1178"
"Endogenous,CDK2,NM_001290230.1,172"
"Endogenous,PDCD1,NM_005018.1,22"
"Endogenous,ATF3,NM_001674.3,38"
"Endogenous,TIE1,NM_005424.4,137"
"Endogenous,CD44,NM_001001392.1,221"
"Endogenous,ALDOA,NM_000034.3,2557"
"Endogenous,FAS,NM_000043.3,54"
"Endogenous,MRE11,NM_001330347.1,227"
"Endogenous,IL10,NM_000572.2,8"
"Endogenous,BMP2,NM_001200.3,42"
"Endogenous,BAX,NM_004324.3,314"
"Endogenous,EIF5AL1,NM_001099692.1,10"
"Endogenous,KIT,NM_000222.2,139"
"Endogenous,CDK6,NM_001145306.1,65"
"Endogenous,SPIB,NM_003121.3,15"
"Endogenous,PFKFB3,NM_004566.3,45"
"Endogenous,CXCL12,NM_199168.3,131"
"Endogenous,CSF3,NM_000759.3,7"
"Endogenous,KIR2DL3,NM_015868.2,20"
"Endogenous,CD40,NM_001250.5,97"
"Endogenous,IRF1,NM_002198.2,283"
"Endogenous,MGMT,NM_002412.3,195"
"Endogenous,GLUD1,NM_005271.2,758"
"Endogenous,IFI35,NM_005533.4,176"
"Endogenous,PF4,NM_002619.3,11"
"Endogenous,GPSM3,NM_001276501.1,184"
"Endogenous,SLC2A1,NM_006516.2,32"
"Endogenous,IL2,NM_000586.2,11"
"Endogenous,SNAI1,NM_005985.3,80"
"Endogenous,CTNNB1,NM_001098209.1,2733"
"Endogenous,NOTCH2,NM_024408.3,468"
"Endogenous,NFKB2,NM_001077494.3,156"
"Endogenous,IL33,NM_033439.3,111"
"Endogenous,TREM2,NM_018965.3,207"
"Endogenous,LAMC2,NM_005562.2,165"
"Endogenous,AQP9,NM_001320635.1,33"
"Endogenous,PRKCA,NM_002737.2,83"
"Endogenous,TSLP,NM_033035.4,17"
"Endogenous,HLA-DOB,NM_002120.3,53"
"Endogenous,ANGPTL4,NM_001039667.2,15"
"Endogenous,TNFRSF25,NM_148970.1,123"
"Endogenous,MS4A4A,NM_001243266.1,251"
"Endogenous,CLEC5A,NM_013252.2,34"
"Endogenous,ITGAM,NM_000632.3,31"
"Endogenous,MMP9,NM_004994.2,220"
"Endogenous,CD7,NM_006137.6,13"
"Endogenous,VHL,NM_198156.1,61"
"Endogenous,OLFML2B,NM_015441.1,86"
"Endogenous,IL6,NM_000600.3,19"
"Endogenous,TNFRSF1A,NM_001065.2,405"
"Endogenous,DKK1,NM_012242.2,28"
"Endogenous,FANCA,NM_001018112.1,37"
"Endogenous,TNF,NM_000594.3,39"
"Endogenous,LTB,NM_002341.1,65"
"Endogenous,PPARGC1B,NM_001172699.1,35"
"Endogenous,RPS6KB1,NM_001272042.1,787"
"Endogenous,CD38,NM_001775.2,60"
"Endogenous,DTX3L,NM_138287.3,533"
"Endogenous,TMEM173,NM_198282.1,287"
"Endogenous,NEIL1,NM_024608.2,53"
"Endogenous,HELLS,NM_001289067.1,167"
"Endogenous,TGFBR1,NM_001130916.2,426"
"Endogenous,MB21D1,NM_138441.2,60"
"Endogenous,CCR2,NM_001123041.2,61"
"Endogenous,MSH2,NM_000251.1,452"
"Endogenous,RAD51,NM_133487.3,35"
"Endogenous,TNFRSF18,NM_148901.1,51"
"Endogenous,FCGR3A/B,NM_000570.4,107"
"Endogenous,STAT1,NM_007315.3,1264"
"Endogenous,CTSS,NM_004079.3,2075"
"Endogenous,PDK1,NM_002610.3,201"
"Endogenous,ITGAV,NM_001144999.2,979"
"Endogenous,ANGPT1,NM_001199859.1,40"
"Endogenous,BCL6B,NM_181844.3,51"
"Endogenous,CDH2,NM_001792.3,51"
"Endogenous,CSF3R,NM_000760.3,115"
"Endogenous,RELB,NM_006509.3,83"
