code_class,name,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5
Endogenous,CCNO,NM_021147.4,14,14,324,23,14,24,87,13,20,15
Endogenous,MYC,NM_002467.3,632,427,2138,570,632,105,55,102,147,125
Endogenous,CD79A,NM_001783.3,10,17,31,49,10,9,110,12,53,13
Endogenous,FSTL3,NM_005860.2,45,59,135,751,45,103,31,40,73,103
Endogenous,VCAN,NM_001126336.2,1141,838,5611,15209,1141,3362,1618,2285,1997,4576
Endogenous,CX3CL1,NM_002996.3,59,57,1564,361,59,197,73,129,207,132
Endogenous,ERBB2,NM_004448.2,315,807,3997,3936,315,566,232,121,550,379
Endogenous,FAM124B,NM_001122779.1,21,23,83,97,21,38,46,54,57,56
Endogenous,AKT1,NM_005163.2,1050,1259,4795,5862,1050,779,888,882,1662,1172
Endogenous,KDR,NM_002253.2,79,152,470,388,79,65,107,122,297,144
Endogenous,EGF,NM_001178130.2,78,8,167,59,78,52,32,216,11,56
Endogenous,MAGEA12,NM_001166386.1,125,7,10,20,125,16,12,12,10,15
Endogenous,IFNA1,NM_024013.1,65,27,85,68,65,21,20,31,21,30
Endogenous,TGFB3,NM_001329938.1,75,130,1110,872,75,236,75,142,267,274
Endogenous,MFGE8,NM_001114614.1,528,494,4017,2217,528,1203,467,534,938,821
Endogenous,CXCL2,NM_002089.1,87,18,746,85,87,166,33,34,45,38
Endogenous,CCND2,NM_001759.2,144,226,1756,1347,144,349,512,122,333,622
Endogenous,PDZK1IP1,NM_005764.3,27,17,452,21,27,145,27,31,31,23
Endogenous,JAG2,NM_002226.4,38,30,184,54,38,24,16,25,31,25
Endogenous,C5,NM_001317163.1,21,74,266,247,21,92,45,70,51,71
Endogenous,CD79B,NM_001039933.1,13,11,18,36,13,7,25,11,12,18
Endogenous,CXCR2,NM_001557.3,17,23,50,45,17,51,25,43,20,37
Endogenous,PSMB10,NM_002801.3,79,77,476,580,79,88,263,122,150,155
Endogenous,ZEB1,NM_001128128.2,138,219,751,876,138,315,189,284,334,402
Endogenous,ANLN,NM_018685.2,121,22,187,614,121,33,78,61,80,66
Endogenous,TAF3,NM_031923.3,19,22,57,86,19,13,27,22,36,29
Endogenous,CD276,NM_001024736.1,939,482,1844,3676,939,522,346,334,562,904
Endogenous,ICAM1,NM_000201.2,70,29,247,284,70,68,98,92,80,92
Endogenous,IL16,NM_004513.4,52,67,610,629,52,206,287,149,312,204
Endogenous,CXCL3,NM_002090.2,17,10,66,31,17,24,12,17,16,23
Endogenous,PRR5,NM_015366.3,48,36,410,328,48,53,40,33,99,67
Endogenous,CTSW,NM_001335.3,13,14,72,96,13,20,16,23,28,24
Endogenous,CXCR4,NM_001008540.1,298,147,281,1309,298,391,472,433,299,668
Endogenous,IFNGR2,NM_005534.3,483,326,2115,1703,483,545,700,738,554,594
Endogenous,CDH11,NM_001797.2,725,735,3245,4603,725,1976,1167,1515,1440,2616
Endogenous,COL6A3,NM_004369.3,1878,1155,4334,14695,1878,3523,1809,2069,2091,6004
Endogenous,GZMK,NM_002104.2,17,12,78,194,17,45,149,53,80,73
Endogenous,IRF2,NM_002199.3,165,184,777,526,165,202,287,175,222,235
Endogenous,RPL7A,NM_000972.2,2589,4987,26951,12249,2589,3808,4053,4854,5099,4202
Endogenous,GPR160,NM_014373.1,198,678,1414,1819,198,629,1002,1826,790,546
Endogenous,MICA,NM_000247.1,52,41,626,385,52,167,36,81,82,87
Endogenous,TAPBPL,NM_018009.4,88,132,735,343,88,93,127,114,174,122
Endogenous,CXCL14,NM_004887.4,167,6855,7977,783,167,675,582,414,1686,613
