code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,CDKN1A,NM_000389.2,430,216,900,NA,1322,247,261,170,271,239,169.5,293.5,636.8,218
Endogenous,CD45RA,NM_002838.4,8,20,52,NA,71,13,34,15,49,20,7.5,27.5,42.8,17
Endogenous,HNF1A,NM_000545.6,12,21,21,NA,22,19,13,14,18,17,11,27,17.2,17.8
Endogenous,TICAM1,NM_182919.3,36,31,109,NA,166,36,29,29,26,47,7,71,73.2,35.8
Endogenous,C1QA,NM_015991.3,100,79,859,NA,1205,165,438,262,166,253,19.5,407.5,553.6,189.8
Endogenous,CD86,NM_001206924.1,25,19,60,NA,NA,42,63,40,31,70,-5,115,44.8,42.8
Endogenous,ITGA4,NM_000885.5,108,76,398,NA,638,103,238,51,149,113,20.5,168.5,306.2,85.8
Endogenous,ROR2,NM_001318204.1,129,62,714,NA,1063,190,96,110,82,306,-184,600,416.8,167
Endogenous,WNT7B,NM_058238.2,97,12,37,118,NA,85,30,28,31,45,-57.5,170.5,48.8,57.6
Endogenous,FLT1,NM_002019.4,381,429,771,NA,409,NA,375,333,869,375,189,573,561,379
Endogenous,CTAG1B,NM_001327.2,NA,13,14,5,NA,9,13,8,13,6,1.5,13.5,13.3,8.2
Endogenous,CLEC7A,NM_197954.2,83,96,151,252,NA,307,136,153,109,241,4.5,400.5,119.8,209.8
Endogenous,TNFRSF4,NM_003327.3,18,22,36,NA,56,33,22,20,21,33,5.5,49.5,30.6,27
Endogenous,MS4A6A,NM_152852.2,NA,44,117,136,126,63,137,115,92,107,-15,193,118,93
Endogenous,ANGPT2,NM_001147.2,113,79,162,NA,143,77,NA,79,141,187,-83,349,139.8,105.5
Endogenous,APH1B,NM_001145646.1,169,234,NA,398,292,130,148,162,174,284,-21,467,195.8,241.6
Endogenous,RORC,NM_001001523.1,56,67,366,228,NA,180,127,151,58,108,0,288,151.8,146.8
Endogenous,NECTIN2,NM_001042724.1,286,578,3528,NA,2733,331,328,692,1137,492,192,992,1602.4,523.2
Endogenous,DPP4,NM_001935.3,31,23,105,119,95,48,49,39,38,106,-61.5,206.5,63.6,67
Endogenous,CCL2,NM_002982.3,789,150,1097,NA,1079,243,265,183,238,375,-105,663,693.6,237.8
Endogenous,NF1,NM_000267.3,168,178,734,NA,528,165,92,NA,162,161,135.5,203.5,336.8,168
Endogenous,S100A9,NM_002965.3,NA,32,396,81,30,246,316,246,167,46,-254,546,227.2,130.2
Endogenous,NFKBIA,NM_020529.2,1304,903,5314,NA,6963,1103,1624,1571,1623,1896,-86.5,3085.5,3365.6,1368.2
Endogenous,BNIP3L,NM_001330491.1,267,102,1250,NA,1350,254,300,295,290,481,-86.5,821.5,691.4,283
Endogenous,CST2,NM_001322.2,24,44,14,NA,95,37,28,35,118,73,-17,127,55.8,47.2
Endogenous,APOL6,NM_030641.3,178,140,708,NA,865,154,267,166,201,250,10,394,443.8,177.5
Endogenous,BRD4,NM_001330384.1,320,191,2527,NA,2502,327,186,201,232,320,12,516,1153.4,259.8
Endogenous,SLC16A1,NM_003051.3,264,72,278,199,238,87,94,49,109,159,-58.5,289.5,196.6,113.2
Endogenous,THBD,NM_000361.2,35,56,236,NA,274,17,24,35,60,30,-9,95,125.8,34.5
Endogenous,TIGIT,NM_173799.2,15,14,21,NA,154,15,83,18,42,24,1.5,37.5,63,17.8
Endogenous,VSIR,NM_022153.1,17,NA,437,NA,263,52,63,44,59,48,32,64,167.8,48
Endogenous,TRIM21,NM_003141.3,118,62,349,NA,372,86,135,97,123,188,-67,341,219.4,108.2
Endogenous,NBN,NM_002485.4,371,151,1134,NA,948,231,310,240,242,320,97.5,453.5,601,235.5
Endogenous,WNT4,NM_030761.4,15,33,NA,NA,40,49,9,8,16,17,-31,97,20,26.8
Endogenous,CXCL8,NM_000584.3,NA,12,33,NA,24,14,13,19,20,27,-5.5,46.5,22.5,18
Endogenous,FGF9,NM_002010.2,11,14,19,20,16,14,7,10,7,9,4,20,12,13.4
Endogenous,C5AR1,NM_001736.3,17,17,41,NA,NA,18,16,21,11,18,13.5,25.5,21.2,18.5
Endogenous,TNFRSF1B,NM_001066.2,25,NA,491,NA,483,87,134,87,103,105,60,132,247.2,93
Endogenous,HLA-DRB5,NM_002125.3,17,1866,2862,7,NA,1853,5,1507,13,6,-2762,4622,724.2,1047.8
Endogenous,GLUL,NM_002065.6,1920,6088,10375,4901,NA,1922,3855,1029,1633,1587,-3384,9872,4445.8,3105.4
Endogenous,LY9,NM_001033667.2,7,16,59,NA,81,14,67,26,39,26,1,41,50.6,20.5
Endogenous,TAP1,NM_000593.5,295,124,405,NA,NA,81,373,210,151,173,-5,339,306,147
Endogenous,IFIH1,NM_022168.3,778,225,902,NA,1147,220,370,386,306,377,-16.5,627.5,700.6,302
Endogenous,DEPTOR,NM_001283012.1,138,160,1113,307,734,322,275,NA,317,245,129.5,437.5,515.4,258.5
Endogenous,CSF1R,NM_005211.3,186,NA,1133,806,1553,672,916,569,430,624,414.5,826.5,843.6,667.8
Endogenous,MARCO,NM_006770.3,21,NA,27,24,28,22,NA,NA,26,23,19,27,25.5,23
Endogenous,NFIL3,NM_001289999.1,133,83,NA,NA,218,232,150,127,156,177,-30.5,389.5,164.2,154.8
Endogenous,IKBKG,NM_001099856.4,46,65,441,NA,474,53,61,NA,41,60,35,83,212.6,59.3
Endogenous,CD58,NM_001144822.1,36,39,163,90,222,52,40,41,61,63,8,96,104.4,57
Endogenous,LOXL2,NM_002318.2,64,41,358,NA,277,85,59,51,54,127,-63,241,162.4,76
Endogenous,SPRY4,NM_030964.3,42,81,855,NA,475,50,46,36,90,92,-13,155,301.6,64.8
Endogenous,NFAM1,NM_145912.5,9,13,53,NA,94,29,26,23,18,19,4,44,40,21
Endogenous,SYK,NM_003177.5,61,53,247,NA,341,113,119,64,79,94,-9.5,186.5,169.4,81
Endogenous,COMP,NM_000095.2,314,247,46,612,NA,439,184,458,205,208,-69.5,774.5,187.2,392.8
Endogenous,IFI6,NM_002038.3,NA,1707,11399,NA,7569,624,537,1077,3674,2681,-1329,5087,5794.8,1522.2
Endogenous,RASGRF1,NM_001145648.1,NA,15,30,52,45,36,23,14,23,29,-16.5,67.5,30.2,29.2
Endogenous,HDAC5,NM_001015053.1,101,216,721,NA,703,78,64,103,83,110,-66.5,385.5,334.4,126.8
Endogenous,BAMBI,NM_012342.2,43,220,462,1873,NA,320,383,241,851,897,-743,1881,434.8,710.2
Endogenous,MAGEC1,NM_005462.4,12,18,14,17,10,8,15,26,14,10,-2,30,13,15.8
Endogenous,FYN,NM_002037.5,89,150,724,NA,730,112,168,120,186,181,28.5,272.5,379.4,140.8
