code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,TRAF1,NM_001190945.1,25,82,204,NA,NA,98,65,46,62,68,23,143,89,73.5
Endogenous,ADAM12,NM_003474.5,523,104,1374,2706,1901,869,436,381,375,2032,-2095.5,4508.5,921.8,1218.4
Endogenous,MMRN2,NM_024756.2,61,121,NA,NA,177,82,96,117,173,97,61,157,126.8,104.2
Endogenous,PTGS2,NM_000963.1,29,40,NA,NA,16,47,40,38,31,43,29.5,57.5,29,42
Endogenous,SMAD5,NM_005903.5,224,685,1463,956,1387,369,280,200,348,477,-105,1159,740.4,537.4
Endogenous,LCK,NM_005356.4,34,46,92,NA,NA,57,154,50,92,64,29,85,93,54.2
Endogenous,ITGB3,NM_000212.2,45,73,NA,83,64,72,50,63,75,52,48,88,58.5,68.6
Endogenous,FCGR2B,NM_001002273.1,99,88,220,413,598,199,452,364,237,342,-48.5,611.5,321.2,281.2
Endogenous,NRAS,NM_002524.4,294,248,1238,NA,1248,330,290,262,392,416,31,647,692.4,314
Endogenous,IL34,NM_001172771.1,40,55,NA,67,76,63,50,44,69,46,20.5,88.5,58.8,55
Endogenous,LAMA1,NM_005559.3,57,43,NA,102,NA,89,54,57,63,69,9,137,58,72
Endogenous,CLEC4E,NM_014358.3,34,NA,72,NA,21,41,38,41,54,45,35,51,43.8,42.3
Endogenous,IL18R1,NM_001282399.1,40,37,43,79,50,42,75,61,58,57,13.5,89.5,53.2,55.2
Endogenous,MFNG,NM_002405.3,98,29,119,NA,120,27,51,47,45,38,2,74,86.6,35.2
Endogenous,TTC30A,NM_152275.3,124,170,364,344,685,125,126,129,128,218,-4.5,351.5,285.4,197.2
Endogenous,TNFRSF10C,NM_003841.3,73,54,302,73,339,82,107,74,64,63,46.5,90.5,177,69.2
Positive,POS_C(8),ERCC_00002.1,3852,NA,2453,NA,1729,4504,3552,4425,4346,4501,4306.5,4622.5,3186.4,4476.7
Positive,POS_A(128),ERCC_00117.1,36727,43726,27681,NA,17945,42598,31296,38967,37992,40969,33520.5,48044.5,30328.2,41565
Positive,POS_F(0.125),ERCC_00034.1,75,85,46,NA,50,88,57,84,93,82,77.5,89.5,64.2,84.8
Positive,POS_D(2),ERCC_00092.1,725,898,470,NA,338,925,602,845,820,864,765.5,977.5,591,883
Positive,POS_B(32),ERCC_00112.1,14523,17129,10228,NA,6685,16351,13062,16298,15828,16719,15666.5,17350.5,12065.2,16624.2
Positive,POS_E(0.5),ERCC_00035.1,150,158,103,NA,70,169,139,NA,169,167,141.5,185.5,126.2,164.7
Negative,NEG_C(0),ERCC_00019.1,27,29,13,22,11,20,26,31,24,31,8.5,44.5,20.2,26.6
Negative,NEG_D(0),ERCC_00076.1,8,15,17,14,15,18,21,16,22,18,10.5,22.5,16.6,16.2
Negative,NEG_E(0),ERCC_00098.1,24,20,16,NA,14,20,27,22,24,NA,17,25,21,20.7
Negative,NEG_A(0),ERCC_00096.1,NA,NA,12,NA,NA,20,12,17,12,19,12.5,24.5,12,18.7
Negative,NEG_H(0),ERCC_00154.1,12,11,11,21,17,14,19,9,16,15,5,21,15,14
Negative,NEG_G(0),ERCC_00144.1,14,NA,7,13,5,14,13,NA,14,14,11.5,15.5,10.6,13.7
Negative,NEG_F(0),ERCC_00126.1,39,39,19,17,17,38,29,26,41,36,8,56,29,31.2
Negative,NEG_B(0),ERCC_00041.1,20,17,10,18,12,35,32,33,21,32,-4.5,55.5,19,27
Housekeeping,UBB,NM_018955.3,3440,4712,13464,NA,9279,3538,5928,3098,7791,4718,1768,6488,7980.4,4016.5
Housekeeping,PUM1,NM_001020658.1,615,750,3278,NA,2483,658,451,533,667,653,507.5,895.5,1498.8,648.5
Housekeeping,TLK2,NM_006852.3,144,418,561,533,515,130,135,517,486,151,-398,1066,368.2,349.8
Housekeeping,DNAJC14,NM_032364.5,201,244,1057,NA,1130,110,112,143,191,153,-8.5,395.5,538.2,162.5
Housekeeping,SF3A1,NM_005877.4,315,313,1616,NA,1164,NA,227,327,267,313,292,348,717.8,317.7
Housekeeping,POLR2A,NM_000937.2,460,550,3813,NA,2351,570,342,NA,596,572,517,605,1512.4,564
Housekeeping,SDHA,NM_004168.3,339,570,2417,NA,2642,467,286,425,365,481,312.5,724.5,1209.8,485.8
Housekeeping,STK11IP,NM_052902.2,103,100,470,NA,633,80,79,120,120,95,57.5,157.5,281,98.8
Housekeeping,NRDE2,NM_017970.3,179,336,589,369,587,171,159,134,237,220,-76.5,583.5,350.2,246
Housekeeping,TBP,NM_001172085.1,117,230,737,NA,541,211,195,NA,321,254,146.5,318.5,382.2,231.7
Housekeeping,OAZ1,NM_004152.2,2242,1825,7198,NA,7887,NA,2365,1823,1643,2122,1374.5,2570.5,4267,1923.3
Housekeeping,TBC1D10B,NM_015527.3,92,86,578,NA,503,111,54,115,97,98,72.5,140.5,264.8,102.5
Housekeeping,GUSB,NM_000181.1,146,177,979,NA,1180,146,224,149,166,177,107,219,539,162.2
Housekeeping,PSMC4,NM_006503.2,209,359,1253,NA,1665,140,205,205,374,216,-26,590,741.2,230
Housekeeping,TFRC,NM_003234.1,489,142,971,NA,707,248,207,184,258,184,88,344,526.4,189.5
Housekeeping,ABCF1,NM_001090.2,170,258,901,NA,976,163,187,162,289,194,20.5,400.5,504.6,194.2
Housekeeping,TMUB2,NM_177441.2,82,172,628,NA,633,125,55,88,81,121,44.5,248.5,295.8,126.5
Housekeeping,MRPL19,NM_014763.3,232,223,771,NA,645,211,200,169,290,280,107.5,383.5,427.6,220.8
Housekeeping,G6PD,NM_000402.4,92,199,336,342,317,61,48,87,83,71,-121,391,175.2,152
Housekeeping,ERCC3,NM_000122.1,454,403,1321,NA,1321,449,423,578,547,586,243.5,791.5,813.2,504
